,MODEL_NAME,STEPS,WARMUP_STEPS,LR,BATCH_SIZE,TRAIN_STEPS,TRAIN_LOSS,EVAL_LOSS,EVAL_NSP_A,EVAL_MLM_A
0,DEMOBERT,0,8,1e-05,32,0,3.638565093278885,3.708666546344757,0.862734375,0.43143360286951066
1,DEMOBERT,500,8,1e-05,32,16000,2.9810371694602367,2.7126367235183717,0.924921875,0.46201172709465027
